지점,일시,평균기온(°C),평균최고기온(°C),평균최저기온(°C),월합강수량(00~24h만)(mm),평균풍속(m/s),최대풍속(m/s),최대순간풍속(m/s)
제주시,2018/01/01,4.9,7.3,2.4,58,3.8,12.9,22.3
제주시,2018/02/01,5.5,8.7,2.4,86.6,3.7,12,22.4
제주시,2018/03/01,11.4,15.3,8,118,3,10.3,20.3
제주시,2018/04/01,15.9,19.6,12.6,112.5,2.9,13,23.9
제주시,2018/05/01,19.1,23.1,16,98.8,2.9,8.8,18.4
제주시,2018/06/01,22.3,25.6,19.8,211.1,2.7,12.8,21.9
제주시,2018/07/01,27.3,30.1,25,48.7,2.7,10,15.6
제주시,2018/08/01,28.8,32.1,26.4,376.5,3.3,14.9,32.2
제주시,2018/09/01,23.9,26.8,21.6,187.7,2.8,9,15.6
제주시,2018/10/01,17.9,20.9,15.2,347,3.2,15.1,26.3
제주시,2018/11/01,13.9,17.2,10.9,28.6,2.6,9.4,16.5
제주시,2018/12/01,8.7,11.2,6.7,96,3.6,10.4,17.5
서귀포시,2018/01/01,5.9,9.2,2.8,63.7,1.6,5.3,13.7
서귀포시,2018/02/01,6.3,9.7,3,10.5,1.8,10.9,18.8
서귀포시,2018/03/01,11.8,15.3,8.3,151.6,2.1,8.5,16.6
서귀포시,2018/04/01,15.8,19.6,12.6,312,1.6,6.4,13.1
서귀포시,2018/05/01,18.7,21.8,16.2,356.1,2,7.3,13.1
서귀포시,2018/06/01,22,25,19.5,304.3,1.7,6.6,11.5
서귀포시,2018/07/01,26.7,29.4,24.7,23.2,1.8,7.2,15.5
서귀포시,2018/08/01,27.8,30.3,25.9,159.6,2.2,11.9,21
서귀포시,2018/09/01,23.5,26.6,20.9,473.8,2,6.8,14.6
서귀포시,2018/10/01,17.8,21.6,14.5,210.2,1.8,8.5,15.9
서귀포시,2018/11/01,14.5,18.3,11.1,55.6,1.6,5.2,14.2
서귀포시,2018/12/01,9.8,12.8,7,45.6,1.5,5.9,11.3
