발생년,발생년월일시분,주야,요일,사망자수,사상자수,중상자수,경상자수,부상신고자수,발생지시도,발생지시군구,사고유형_대분류,사고유형_중분류,사고유형,법규위반_대분류,법규위반,도로형태_대분류,도로형태,가해자_당사자종별_대분류,가해자_당사자종별,피해자_당사자종별_대분류,피해자_당사자종별,발생위치X_UTMK,발생위치Y_UTMK,경도,위도
2015,2015-01-06 2:30,야간,화,1,1,0,0,0,제주,제주시,차대사람,횡단중,횡단중,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,경형,보행자,보행자,906416,1499335,126.4927104,33.48175278
2015,2015-01-12 19:38,야간,월,1,1,0,0,0,제주,서귀포시,차대사람,횡단중,횡단중,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,중형,보행자,보행자,943557,1494870,126.8927317,33.44408644
2015,2015-01-15 18:10,야간,목,1,1,0,0,0,제주,서귀포시,차대차,추돌,진행중 추돌,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,중형,자전거,자전거,928082,1476978,126.7276754,33.28179093
2015,2015-01-18 2:50,야간,일,1,1,0,0,0,제주,서귀포시,차대사람,기타,기타,운전자법규위반,안전운전 의무 불이행,교차로,교차로부근,승용차,중형,보행자,보행자,939015,1483555,126.8446335,33.3417851
2015,2015-01-28 18:45,야간,수,1,3,2,0,0,제주,서귀포시,차대차,기타,기타,운전자법규위반,직진 및 우회전차의 통행방해,교차로,교차로내,승합차,대형,농기계,농기계,900382,1472415,126.4307465,33.23843596
2015,2015-01-29 11:25,주간,목,1,1,0,0,0,제주,제주시,차량단독,공작물충돌,공작물충돌,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,이륜차,소형,없음,없음,922371,1505870,126.6638574,33.54196652
2015,2015-01-29 17:30,주간,목,1,1,0,0,0,제주,제주시,차량단독,공작물충돌,공작물충돌,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,중형,없음,없음,917875,1492447,126.6166655,33.42057337
2015,2015-01-29 18:05,야간,목,1,1,0,0,0,제주,제주시,차대사람,기타,기타,운전자법규위반,보행자 보호의무 위반,단일로,횡단보도상,승용차,중형,보행자,보행자,909613,1503156,126.5267313,33.51648676
2015,2015-02-09 18:20,야간,월,1,2,1,0,0,제주,서귀포시,차대사람,횡단중,횡단중,운전자법규위반,보행자 보호의무 위반,단일로,횡단보도상,화물차,소형,보행자,보행자,914475,1474262,126.5818218,33.25630209
2015,2015-02-10 21:47,야간,화,1,1,0,0,0,제주,제주시,차대사람,기타,기타,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,대형,보행자,보행자,898431,1499670,126.4067391,33.48404555
2015,2015-02-17 17:30,주간,화,2,13,4,7,0,제주,제주시,차대차,기타,기타,운전자법규위반,과속,교차로,교차로내,승합차,소형,승용차,소형,902111,1499353,126.4463783,33.48152987
2015,2015-02-20 18:50,야간,금,1,1,0,0,0,제주,서귀포시,차대사람,횡단중,횡단중,운전자법규위반,안전운전 의무 불이행,교차로,교차로내,승용차,소형,보행자,보행자,925599,1476940,126.7010159,33.28127968
2015,2015-02-21 15:20,주간,토,1,7,5,0,1,제주,서귀포시,차대차,정면충돌,정면충돌,운전자법규위반,중앙선 침범,단일로,기타단일로,승용차,중형,승용차,중형,894936,1476925,126.3717785,33.27859208
2015,2015-02-21 19:39,야간,토,1,1,0,0,0,제주,제주시,차대사람,횡단중,횡단중,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,경형,보행자,보행자,911317,1498178,126.5455701,33.47173594
2015,2015-02-24 5:58,야간,화,1,2,1,0,0,제주,제주시,차대사람,횡단중,횡단중,운전자법규위반,과속,단일로,횡단보도상,승용차,중형,보행자,보행자,906554.5,1500908.4,126.4940369,33.49595423
2015,2015-02-27 13:50,주간,금,1,1,0,0,0,제주,제주시,차대차,추돌,진행중 추돌,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,원동기장치자전거,원동기장치자전거,화물차,중형,911691,1501846,126.5492333,33.50484645
